YearMonth,Rate,UnemployedPop,Year,,,,,,,,,,,,,,
2007Dec,5.0,7645,2007,,,,,,,,,,,,,,
2008Jan,5.0,7685,2008,,,,,,,,,,,,,,
2008Feb,4.9,7497,2008,,,,,,,,,,,,,,
2008Mar,5.1,7822,2008,,,,,,,,,,,,,,
2008Apr,5.0,7637,2008,,,,,,,,,,,,,,
2008May,5.4,8395,2008,,,,,,,,,,,,,,
2008Jun,5.6,8575,2008,,,,,,,,,,,,,,
2008Jul,5.8,8937,2008,,,,,,,,,,,,,,
2008Aug,6.1,9438,2008,,,,,,,,,,,,,,
2008Sep,6.1,9494,2008,,,,,,,,,,,,,,
2008Oct,6.5,10074,2008,,,,,,,,,,,,,,
2008Nov,6.8,10538,2008,,,,,,,,,,,,,,
2008Dec,7.3,11286,2008,,,,,,,,,,,,,,
2009Jan,7.8,12058,2009,,,,,,,,,,,,,,
2009Feb,8.3,12898,2009,,,,,,,,,,,,,,
2009Mar,8.7,13426,2009,,,,,,,,,,,,,,
2009Apr,9.0,13853,2009,,,,,,,,,,,,,,
2009May,9.4,14499,2009,,,,,,,,,,,,,,
2009Jun,9.5,14707,2009,,,,,,,,,,,,,,
2009Jul,9.5,14601,2009,,,,,,,,,,,,,,
2009Aug,9.6,14814,2009,,,,,,,,,,,,,,
2009Sep,9.8,15009,2009,,,,,,,,,,,,,,
2009Oct,10.0,15352,2009,,,,,,,,,,,,,,
2009Nov,9.9,15219,2009,,,,,,,,,,,,,,
2009Dec,9.9,15098,2009,,,,,,,,,,,,,,
2010Jan,9.8,15046,2010,,,,,,,,,,,,,,
2010Feb,9.8,15113,2010,,,,,,,,,,,,,,
2010Mar,9.9,15202,2010,,,,,,,,,,,,,,
2010Apr,9.9,15325,2010,,,,,,,,,,,,,,
2010May,9.6,14849,2010,,,,,,,,,,,,,,
2010Jun,9.4,14474,2010,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
